timestamp,vendor,category,amount,account,is_fraud
2023-08-30 10:26:00,Budget Staffing Inc.,Insurance,5084.45,General Fund,0
2023-06-05 08:49:00,Pacific Payroll Partners,Marketing,3586.4,Capital Projects,0
2023-05-18 15:27:00,City Water Authority,IT Services,4830.16,Capital Projects,0
2024-02-03 08:15:00,Blue Sky Marketing,Office Supplies,663.88,Capital Projects,0
2023-02-24 11:47:00,Horizon Consulting Group,IT Services,2061.65,General Fund,0
2023-06-28 17:17:00,Greenfield Landscaping,Office Supplies,557.34,Operations,0
2023-07-27 12:46:00,Tech Solutions LLC,IT Services,1763.38,General Fund,0
2023-10-25 16:32:00,Premier Janitorial Services,Facilities,1502.67,General Fund,0
2023-01-02 15:41:00,Urban Transit Authority,Office Supplies,326.01,General Fund,0
2023-01-06 09:13:00,Lakefront Catering,Facilities,3069.06,IT Budget,0
2023-12-10 12:59:00,City Water Authority,IT Services,3127.72,General Fund,0
2023-09-20 12:25:00,Blue Sky Marketing,Office Supplies,428.93,Capital Projects,0
2023-05-07 12:18:00,Tech Solutions LLC,IT Services,3771.39,IT Budget,0
2023-07-27 17:00:00,Budget Staffing Inc.,Insurance,3756.84,Operations,0
2023-03-22 13:39:00,Urban Transit Authority,Office Supplies,609.11,IT Budget,0
2023-01-20 11:40:00,Budget Staffing Inc.,Insurance,3019.87,IT Budget,0
2023-02-22 16:33:00,Allied Security Systems,Utilities,1306.23,IT Budget,0
2023-03-09 13:02:00,Metro Electric Co.,Professional Services,2813.42,Capital Projects,0
2024-01-23 13:23:00,Tech Solutions LLC,IT Services,4005.6,Capital Projects,0
2023-12-25 14:58:00,Summit Law Offices,Office Supplies,416.84,IT Budget,0
2023-10-28 12:17:00,Lakefront Catering,Facilities,2793.81,General Fund,0
2023-01-21 10:03:00,Metro Electric Co.,Professional Services,11316.1,Operations,0
2023-01-15 09:09:00,Budget Staffing Inc.,Insurance,7483.28,Operations,0
2024-01-11 09:19:00,Budget Staffing Inc.,Insurance,5219.49,IT Budget,0
2023-04-25 11:11:00,Delta Insurance,Marketing,4065.91,General Fund,0
2023-05-09 08:59:00,Horizon Consulting Group,IT Services,1652.53,General Fund,0
2023-06-17 11:07:00,Allied Security Systems,Utilities,915.02,Operations,0
2023-09-28 08:31:00,Tech Solutions LLC,IT Services,3740.14,Capital Projects,0
2023-12-22 11:57:00,Pine Ridge Construction,IT Services,6009.4,IT Budget,0
2023-01-08 12:52:00,Horizon Consulting Group,IT Services,6710.11,Operations,0
2023-06-08 10:11:00,Summit Law Offices,Office Supplies,1496.5,Capital Projects,0
2023-10-05 16:38:00,City Water Authority,IT Services,2091.31,Operations,0
2023-12-13 17:24:00,Allied Security Systems,Utilities,1576.02,Capital Projects,0
2023-07-22 14:02:00,Premier Janitorial Services,Facilities,1126.24,Operations,0
2023-05-23 11:24:00,Horizon Consulting Group,IT Services,6375.0,General Fund,0
2023-12-17 10:59:00,Valley Plumbing,Consulting,1682.96,IT Budget,0
2023-01-20 14:05:00,Lakefront Catering,Facilities,10267.75,Operations,1
2023-08-14 11:02:00,Delta Insurance,Marketing,3034.65,Capital Projects,0
2023-04-23 10:36:00,Pine Ridge Construction,IT Services,6019.14,General Fund,0
2023-11-12 08:24:00,Pine Ridge Construction,IT Services,5360.12,General Fund,0
2023-07-21 10:20:00,Allied Security Systems,Utilities,1741.66,Operations,0
2023-02-16 10:51:00,Budget Staffing Inc.,Insurance,3354.67,Operations,0
2023-08-01 08:15:00,Regional Gas & Fuel,Maintenance,2022.79,General Fund,0
2023-05-16 09:40:00,Regional Gas & Fuel,Maintenance,1734.32,IT Budget,0
2023-12-30 12:00:00,Premier Janitorial Services,Facilities,3412.24,IT Budget,0
2023-11-23 16:49:00,Central IT Services,Facilities,3528.34,Operations,0
2023-02-04 17:02:00,Pine Ridge Construction,IT Services,2977.74,Capital Projects,0
2023-03-09 14:21:00,Valley Plumbing,Consulting,9801.81,Operations,0
2023-04-15 13:06:00,Budget Staffing Inc.,Insurance,7156.27,General Fund,0
2023-05-26 17:00:00,Tech Solutions LLC,IT Services,4320.91,Operations,0
2023-03-15 13:31:00,Summit Law Offices,Office Supplies,893.37,Operations,0
2023-08-19 11:13:00,Acme Office Supplies,IT Services,5379.78,Capital Projects,0
2023-04-13 14:00:00,Lakefront Catering,Facilities,716.34,Capital Projects,0
2023-03-21 10:14:00,Horizon Consulting Group,IT Services,1271.06,Capital Projects,0
2023-08-03 14:53:00,Pacific Payroll Partners,Marketing,3319.95,Operations,0
2023-10-04 16:13:00,Tech Solutions LLC,IT Services,5802.33,IT Budget,0
2023-05-18 16:36:00,Premier Janitorial Services,Facilities,3398.68,IT Budget,0
2023-02-11 10:15:00,Valley Plumbing,Consulting,11278.05,General Fund,0
2023-12-20 09:35:00,Riverside Printing,IT Services,1699.68,Capital Projects,0
2024-01-09 10:32:00,Riverside Printing,IT Services,2850.29,General Fund,0
2023-04-04 11:19:00,Regional Gas & Fuel,Maintenance,678.78,Operations,0
2023-06-02 11:39:00,Metro Electric Co.,Professional Services,4234.3,IT Budget,0
2023-05-08 13:21:00,Pacific Payroll Partners,Marketing,2736.91,Operations,0
2023-03-17 15:10:00,Premier Janitorial Services,Facilities,3779.17,IT Budget,0
2023-11-21 13:38:00,Metro Electric Co.,Professional Services,6348.57,General Fund,0
2024-01-19 10:17:00,Tech Solutions LLC,IT Services,6680.99,Operations,0
2023-09-29 13:59:00,Delta Insurance,Marketing,1085.21,IT Budget,0
2023-07-25 16:18:00,Premier Janitorial Services,Facilities,903.45,Operations,0
2023-12-28 08:30:00,Riverside Printing,IT Services,1059.23,Capital Projects,0
2023-04-26 14:39:00,Budget Staffing Inc.,Insurance,3273.39,IT Budget,0
2023-12-26 10:25:00,Pacific Payroll Partners,Marketing,3226.9,IT Budget,0
2023-03-22 08:39:00,Acme Office Supplies,IT Services,4087.29,Operations,0
2023-08-09 11:46:00,Urban Transit Authority,Office Supplies,406.85,General Fund,0
2023-06-06 15:31:00,Delta Insurance,Marketing,4355.32,IT Budget,0
2023-10-29 13:22:00,Greenfield Landscaping,Office Supplies,276.27,Capital Projects,0
2023-01-13 15:06:00,Riverside Printing,IT Services,4494.96,IT Budget,0
2023-01-25 10:50:00,Greenfield Landscaping,Office Supplies,241.79,General Fund,0
2023-11-10 16:22:00,Greenfield Landscaping,Office Supplies,1359.05,Capital Projects,0
2023-12-11 16:53:00,Pine Ridge Construction,IT Services,2201.46,IT Budget,0
2023-02-02 11:01:00,Regional Gas & Fuel,Maintenance,2474.58,General Fund,0
2023-07-19 15:18:00,Valley Plumbing,Consulting,3405.27,IT Budget,0
2023-08-21 10:24:00,Acme Office Supplies,IT Services,7264.43,General Fund,0
2023-02-18 09:02:00,Budget Staffing Inc.,Insurance,5970.01,IT Budget,0
2024-01-19 13:20:00,Tech Solutions LLC,IT Services,7231.14,Capital Projects,0
2024-01-08 13:51:00,Delta Insurance,Marketing,3052.66,Capital Projects,0
2023-01-30 14:11:00,Budget Staffing Inc.,Insurance,2577.08,IT Budget,0
2024-01-27 17:51:00,City Water Authority,IT Services,2792.81,General Fund,0
2023-07-03 08:52:00,Delta Insurance,Marketing,1318.17,IT Budget,0
2023-08-10 16:33:00,Allied Security Systems,Utilities,1064.63,IT Budget,0
2023-02-09 16:01:00,Premier Janitorial Services,Facilities,3757.49,Capital Projects,0
2023-09-25 08:30:00,Pine Ridge Construction,IT Services,5561.94,General Fund,0
2023-09-09 13:14:00,Central IT Services,Facilities,3045.58,Capital Projects,0
2023-04-08 17:59:00,Acme Office Supplies,IT Services,3256.24,Capital Projects,0
2023-01-07 16:17:00,Valley Plumbing,Consulting,11413.51,Operations,0
2023-02-18 08:40:00,Valley Plumbing,Consulting,2137.43,IT Budget,0
2023-01-20 13:39:00,Central IT Services,Facilities,788.5,IT Budget,0
2023-09-18 11:49:00,Blue Sky Marketing,Office Supplies,1253.73,Operations,0
2023-08-22 00:00:00,QuickPay LLC,Professional Services,9218.3,General Fund,1
2023-02-14 10:05:00,Budget Staffing Inc.,Insurance,2712.39,General Fund,0
2023-01-15 09:36:00,Lakefront Catering,Facilities,2792.49,IT Budget,0
2023-02-19 16:32:00,Pacific Payroll Partners,Marketing,3246.83,Operations,0
2024-01-21 13:53:00,Pine Ridge Construction,IT Services,7858.41,General Fund,0
2023-04-24 10:40:00,City Water Authority,IT Services,3288.44,IT Budget,0
2023-02-19 08:55:00,Horizon Consulting Group,IT Services,1686.56,General Fund,0
2023-10-01 17:43:00,City Water Authority,IT Services,2154.41,Capital Projects,0
2023-04-21 12:25:00,Summit Law Offices,Office Supplies,5736.64,Capital Projects,1
2023-03-17 17:48:00,Greenfield Landscaping,Office Supplies,1030.46,Capital Projects,1
2023-01-01 16:49:00,Tech Solutions LLC,IT Services,3308.5,Capital Projects,0
2023-08-29 13:17:00,Regional Gas & Fuel,Maintenance,2469.55,General Fund,0
2023-02-04 15:12:00,Acme Office Supplies,IT Services,1198.05,General Fund,0
2023-08-24 08:17:00,Urban Transit Authority,Office Supplies,205.78,Capital Projects,0
2023-01-13 11:30:00,Pine Ridge Construction,IT Services,4692.81,Operations,0
2023-02-22 11:56:00,Horizon Consulting Group,IT Services,3199.08,Capital Projects,0
2023-02-16 12:49:00,Lakefront Catering,Facilities,3696.83,IT Budget,0
2023-02-14 10:00:00,Riverside Printing,IT Services,7173.35,Operations,0
2023-04-03 08:47:00,Central IT Services,Facilities,3143.8,Capital Projects,0
2023-10-12 17:29:00,Tech Solutions LLC,IT Services,5753.07,Capital Projects,0
2023-11-19 14:14:00,Metro Electric Co.,Professional Services,4876.79,Capital Projects,0
2023-11-12 17:58:00,Premier Janitorial Services,Facilities,3018.11,Operations,0
2023-03-06 15:38:00,Greenfield Landscaping,Office Supplies,1327.11,Operations,0
2023-03-12 11:56:00,Urban Transit Authority,Office Supplies,1394.91,Capital Projects,0
2024-01-15 14:10:00,Premier Janitorial Services,Facilities,1508.73,IT Budget,0
2023-09-08 12:10:00,Budget Staffing Inc.,Insurance,6422.92,Operations,0
2023-08-12 11:28:00,Central IT Services,Facilities,1947.61,General Fund,0
2023-10-09 15:26:00,Regional Gas & Fuel,Maintenance,1507.76,Capital Projects,0
2023-02-01 13:12:00,Allied Security Systems,Utilities,907.53,General Fund,0
2023-03-29 10:19:00,Summit Law Offices,Office Supplies,1342.66,Operations,0
2023-10-09 00:00:00,Metro Electric Co.,Consulting,10000.0,Capital Projects,1
2023-03-26 11:17:00,Acme Office Supplies,IT Services,1401.12,General Fund,0
2023-06-03 11:17:00,Greenfield Landscaping,Office Supplies,1217.92,IT Budget,0
2023-12-20 09:02:00,Lakefront Catering,Facilities,582.92,IT Budget,0
2023-10-27 09:54:00,Pine Ridge Construction,IT Services,7743.66,Capital Projects,0
2023-02-22 14:13:00,Lakefront Catering,Facilities,1434.27,General Fund,0
2023-01-09 14:02:00,Pacific Payroll Partners,Marketing,652.45,Capital Projects,0
2023-08-21 17:33:00,Summit Law Offices,Office Supplies,359.13,General Fund,0
2023-08-22 17:58:00,Lakefront Catering,Facilities,3754.6,Operations,0
2023-11-26 08:54:00,Regional Gas & Fuel,Maintenance,901.93,Capital Projects,0
2023-04-18 13:02:00,Acme Office Supplies,IT Services,4797.81,General Fund,0
2024-01-25 16:23:00,City Water Authority,IT Services,5657.39,Capital Projects,0
2023-06-15 01:38:00,Central IT Services,Facilities,3578.02,General Fund,1
2023-10-22 17:29:00,City Water Authority,IT Services,3166.04,General Fund,0
2023-06-01 16:05:00,Metro Electric Co.,Professional Services,4411.81,Operations,0
2023-03-09 13:12:00,Blue Sky Marketing,Office Supplies,741.72,Operations,0
2023-10-30 14:46:00,Blue Sky Marketing,Office Supplies,226.82,Operations,0
2023-12-20 15:05:00,Riverside Printing,IT Services,6727.78,Capital Projects,0
2024-02-01 14:28:00,Horizon Consulting Group,IT Services,6209.92,Operations,0
2023-12-17 11:46:00,Metro Electric Co.,Professional Services,4078.22,General Fund,0
2023-03-11 10:38:00,Metro Electric Co.,Professional Services,3299.11,IT Budget,0
2023-07-07 17:42:00,Summit Law Offices,Office Supplies,554.82,General Fund,0
2023-07-27 09:40:00,Urban Transit Authority,Office Supplies,774.74,General Fund,0
2023-11-22 14:26:00,Delta Insurance,Marketing,3751.38,IT Budget,0
2024-01-25 10:52:00,Pacific Payroll Partners,Marketing,4084.96,Operations,0
2024-01-14 08:41:00,Blue Sky Marketing,Office Supplies,1206.06,IT Budget,0
2023-10-01 11:51:00,Pine Ridge Construction,IT Services,2213.16,Capital Projects,0
2023-06-07 14:55:00,Valley Plumbing,Consulting,11052.83,General Fund,0
2023-07-14 09:14:00,Pacific Payroll Partners,Marketing,1565.04,General Fund,0
2023-01-19 14:47:00,Regional Gas & Fuel,Maintenance,1053.73,General Fund,0
2023-06-23 10:35:00,Summit Law Offices,Office Supplies,1208.58,IT Budget,0
2023-09-19 17:53:00,Acme Office Supplies,IT Services,6265.16,General Fund,0
2023-11-07 17:06:00,Horizon Consulting Group,IT Services,1391.59,General Fund,0
2023-06-25 10:16:00,Valley Plumbing,Consulting,6915.17,General Fund,0
2023-11-04 08:24:00,Pine Ridge Construction,IT Services,3440.38,Operations,0
2023-09-23 09:08:00,Regional Gas & Fuel,Maintenance,955.32,Capital Projects,1
2023-09-30 16:32:00,Metro Electric Co.,Professional Services,10543.21,Capital Projects,0
2024-01-06 14:41:00,Delta Insurance,Marketing,4790.75,Capital Projects,0
2023-04-10 08:23:00,Premier Janitorial Services,Facilities,3320.97,IT Budget,0
2023-01-03 14:00:00,Regional Gas & Fuel,Maintenance,1009.42,IT Budget,0
2023-11-01 08:04:00,Urban Transit Authority,Office Supplies,941.63,Capital Projects,0
2023-11-04 08:51:00,Allied Security Systems,Utilities,2939.42,IT Budget,0
2023-02-08 15:42:00,Pine Ridge Construction,IT Services,1867.0,General Fund,0
2023-02-12 12:21:00,Central IT Services,Facilities,2770.71,IT Budget,0
2023-04-30 11:10:00,Lakefront Catering,Facilities,3282.6,Operations,0
2023-10-18 14:30:00,Horizon Consulting Group,IT Services,5119.6,IT Budget,0
2023-09-23 13:18:00,City Water Authority,IT Services,4426.7,Operations,0
2023-10-21 09:25:00,Pacific Payroll Partners,Marketing,3359.43,IT Budget,1
2023-09-09 08:27:00,Central IT Services,Facilities,2139.91,IT Budget,0
2023-08-13 17:29:00,Metro Electric Co.,Professional Services,10961.95,General Fund,0
2023-08-28 15:26:00,Allied Security Systems,Utilities,1640.13,IT Budget,0
2023-07-02 12:06:00,Greenfield Landscaping,Office Supplies,845.76,Operations,0
2023-03-27 08:20:00,City Water Authority,IT Services,7025.37,IT Budget,0
2023-07-12 09:10:00,Premier Janitorial Services,Facilities,1997.63,Operations,0
2023-04-17 16:17:00,Summit Law Offices,Office Supplies,422.3,Operations,0
2023-09-26 17:04:00,Allied Security Systems,Utilities,2491.21,Operations,0
2023-10-27 12:52:00,Urban Transit Authority,Office Supplies,828.24,General Fund,0
2023-11-23 09:18:00,Blue Sky Marketing,Office Supplies,1099.42,General Fund,0
2023-06-24 08:00:00,Blue Sky Marketing,Office Supplies,1313.05,Capital Projects,0
2023-10-02 15:49:00,Premier Janitorial Services,Facilities,3622.14,General Fund,0
2023-05-25 12:44:00,Greenfield Landscaping,Office Supplies,1237.96,General Fund,0
2023-06-23 16:43:00,Pacific Payroll Partners,Marketing,2566.38,Capital Projects,0
2023-07-18 13:10:00,Valley Plumbing,Consulting,8382.66,IT Budget,0
2023-02-14 11:56:00,Regional Gas & Fuel,Maintenance,1607.45,IT Budget,0
2024-01-17 08:48:00,Summit Law Offices,Office Supplies,929.58,Capital Projects,0
2023-10-23 15:49:00,Greenfield Landscaping,Office Supplies,651.14,IT Budget,0
2023-11-30 10:42:00,Pacific Payroll Partners,Marketing,1199.81,General Fund,0
2023-10-19 10:03:00,Horizon Consulting Group,IT Services,1191.2,Operations,0
2023-12-20 11:14:00,Riverside Printing,IT Services,1503.97,Capital Projects,0
2023-12-07 10:36:00,Urban Transit Authority,Office Supplies,1056.78,IT Budget,0
2023-08-06 11:13:00,Pine Ridge Construction,IT Services,2644.62,Operations,0
2024-01-23 13:20:00,Pine Ridge Construction,IT Services,2548.55,Operations,0
2023-10-11 00:00:00,Summit Law Offices,Consulting,50000.0,Capital Projects,1
2023-11-13 09:28:00,Delta Insurance,Marketing,698.65,Capital Projects,0
2023-03-31 08:26:00,Central IT Services,Facilities,2434.35,General Fund,0
2023-10-10 15:51:00,Blue Sky Marketing,Office Supplies,516.64,General Fund,0
2023-02-09 12:00:00,Pacific Payroll Partners,Marketing,2559.81,IT Budget,0
2023-03-08 12:21:00,Lakefront Catering,Facilities,1040.06,Operations,0
2023-09-24 12:05:00,Riverside Printing,IT Services,4324.98,Operations,0
2023-08-02 13:51:00,Horizon Consulting Group,IT Services,3227.75,General Fund,0
2023-12-29 16:34:00,Horizon Consulting Group,IT Services,1117.78,Capital Projects,0
2023-09-07 10:55:00,Greenfield Landscaping,Office Supplies,1094.19,IT Budget,0
2023-09-10 11:40:00,Allied Security Systems,Utilities,2851.44,Capital Projects,0
2023-07-02 08:00:00,Valley Plumbing,Consulting,3719.07,Operations,0
2024-01-01 16:37:00,Regional Gas & Fuel,Maintenance,433.86,IT Budget,0
2023-06-13 10:46:00,Pine Ridge Construction,IT Services,4792.94,General Fund,0
2023-02-15 11:21:00,Pacific Payroll Partners,Marketing,1776.21,IT Budget,0
2023-04-29 17:03:00,Urban Transit Authority,Office Supplies,1199.07,General Fund,0
2023-07-26 15:15:00,Valley Plumbing,Consulting,3072.21,Operations,0
2023-03-16 14:19:00,Riverside Printing,IT Services,4033.62,Capital Projects,0
2023-03-15 08:00:00,Delta Insurance,Marketing,651.24,IT Budget,0
2023-01-24 17:39:00,City Water Authority,IT Services,3389.65,IT Budget,0
2023-01-14 14:24:00,Regional Gas & Fuel,Maintenance,877.25,General Fund,0
2023-07-16 09:06:00,Lakefront Catering,Facilities,3734.44,IT Budget,0
2023-03-03 09:40:00,Horizon Consulting Group,IT Services,7972.11,IT Budget,0
2023-10-29 14:04:00,Greenfield Landscaping,Office Supplies,1341.9,Operations,0
2023-05-26 08:47:00,Greenfield Landscaping,Office Supplies,707.63,Operations,0
2023-12-09 11:53:00,Premier Janitorial Services,Facilities,1127.8,IT Budget,0
2023-01-13 15:24:00,City Water Authority,IT Services,3057.72,Operations,0
2023-07-28 08:25:00,Metro Electric Co.,Professional Services,13418.98,General Fund,0
2023-12-14 12:50:00,Valley Plumbing,Consulting,10932.59,Operations,0
2023-08-18 14:31:00,Horizon Consulting Group,IT Services,5126.71,IT Budget,0
2023-01-02 14:26:00,Summit Law Offices,Office Supplies,741.99,Operations,0
2023-12-10 15:18:00,Budget Staffing Inc.,Insurance,7996.43,IT Budget,0
2023-09-27 15:22:00,Regional Gas & Fuel,Maintenance,1771.13,IT Budget,0
2023-10-27 14:58:00,Horizon Consulting Group,IT Services,6731.91,Operations,0
2023-12-23 12:49:00,Lakefront Catering,Facilities,2022.8,Operations,0
2023-11-03 17:20:00,Acme Office Supplies,IT Services,2280.92,IT Budget,0
2023-05-15 12:59:00,Blue Sky Marketing,Office Supplies,525.79,Operations,0
2023-05-10 16:46:00,Delta Insurance,Marketing,4815.62,General Fund,0
2023-03-11 12:56:00,Acme Office Supplies,IT Services,4384.58,Operations,0
2023-11-20 09:48:00,Acme Office Supplies,IT Services,1415.32,IT Budget,0
2024-01-28 09:50:00,Greenfield Landscaping,Office Supplies,391.53,IT Budget,0
2023-10-22 15:27:00,Acme Office Supplies,IT Services,2678.67,IT Budget,0
2023-09-18 12:35:00,Central IT Services,Facilities,3445.01,Operations,0
2023-09-02 13:25:00,Summit Law Offices,Office Supplies,1065.61,General Fund,0
2023-04-02 08:24:00,Pacific Payroll Partners,Marketing,3726.76,Capital Projects,0
2023-09-14 08:21:00,Metro Electric Co.,Professional Services,4724.75,General Fund,0
2023-12-26 17:57:00,City Water Authority,IT Services,5412.33,Operations,0
2023-02-09 17:34:00,Greenfield Landscaping,Office Supplies,226.34,Capital Projects,0
2023-07-09 10:23:00,Riverside Printing,IT Services,3172.87,General Fund,1
2023-02-26 09:46:00,City Water Authority,IT Services,5276.71,Operations,0
2023-10-07 09:24:00,Delta Insurance,Marketing,2719.44,Operations,0
2023-08-04 14:41:00,Lakefront Catering,Facilities,860.85,General Fund,0
2023-03-21 12:10:00,Riverside Printing,IT Services,3748.97,Operations,0
2023-04-30 13:08:00,Lakefront Catering,Facilities,1516.08,IT Budget,0
2023-12-09 16:12:00,Lakefront Catering,Facilities,2513.74,Capital Projects,0
2023-02-04 16:11:00,Premier Janitorial Services,Facilities,657.37,General Fund,0
2023-07-10 12:37:00,Blue Sky Marketing,Office Supplies,1427.35,Capital Projects,0
2023-01-12 17:16:00,City Water Authority,IT Services,5833.47,Operations,0
2023-09-19 15:00:00,City Water Authority,IT Services,3427.27,Capital Projects,0
2023-09-08 09:12:00,Allied Security Systems,Utilities,1388.83,General Fund,0
2023-03-19 17:04:00,Lakefront Catering,Facilities,3470.7,General Fund,0
2023-07-23 10:57:00,Acme Office Supplies,IT Services,3974.87,Operations,0
2023-12-21 13:03:00,Allied Security Systems,Utilities,2976.32,IT Budget,0
2024-02-01 15:31:00,Pacific Payroll Partners,Marketing,2521.83,Operations,0
2024-01-06 13:47:00,Greenfield Landscaping,Office Supplies,303.7,IT Budget,0
2023-01-24 08:38:00,Regional Gas & Fuel,Maintenance,1777.09,General Fund,0
2023-03-03 14:39:00,Tech Solutions LLC,IT Services,6049.58,IT Budget,0
2023-09-16 12:20:00,Acme Office Supplies,IT Services,1789.01,Capital Projects,0
2024-01-26 17:27:00,City Water Authority,IT Services,2457.2,Capital Projects,0
2023-04-10 11:37:00,Pine Ridge Construction,IT Services,7179.93,Operations,0
2023-07-20 16:03:00,Summit Law Offices,Office Supplies,973.11,Capital Projects,0
2023-08-18 17:36:00,Pine Ridge Construction,IT Services,2937.62,IT Budget,0
2023-05-11 12:48:00,Regional Gas & Fuel,Maintenance,1058.7,Operations,0
2023-05-29 16:39:00,Premier Janitorial Services,Facilities,864.47,General Fund,0
2023-08-25 14:56:00,Central IT Services,Facilities,1414.54,IT Budget,0
2023-08-30 14:15:00,Tech Solutions LLC,IT Services,1647.91,General Fund,0
2023-06-15 00:58:00,Blue Sky Marketing,Office Supplies,1054.53,Operations,1
2023-06-05 16:43:00,Blue Sky Marketing,Office Supplies,1260.15,Operations,0
2023-12-18 13:06:00,Greenfield Landscaping,Office Supplies,862.35,Capital Projects,0
2023-10-25 10:08:00,Lakefront Catering,Facilities,3983.93,Operations,0
2023-10-18 09:16:00,Blue Sky Marketing,Office Supplies,1220.77,Operations,0
2024-01-28 10:05:00,Acme Office Supplies,IT Services,6645.73,Operations,0
2023-03-02 17:27:00,Urban Transit Authority,Office Supplies,632.09,General Fund,0
2023-02-10 15:11:00,Tech Solutions LLC,IT Services,2552.76,Operations,0
2023-08-21 08:50:00,Pacific Payroll Partners,Marketing,3076.2,General Fund,0
2023-10-18 09:36:00,Tech Solutions LLC,IT Services,2564.49,Operations,0
2023-11-01 10:17:00,Greenfield Landscaping,Office Supplies,1303.79,General Fund,0
2023-04-01 14:12:00,Budget Staffing Inc.,Insurance,5117.88,Capital Projects,0
2023-03-11 10:20:00,Delta Insurance,Marketing,3416.42,General Fund,0
2023-12-31 13:00:00,Premier Janitorial Services,Facilities,2540.46,General Fund,0
2023-07-11 12:14:00,Regional Gas & Fuel,Maintenance,1053.09,Capital Projects,0
2023-02-10 14:33:00,Delta Insurance,Marketing,4915.74,Operations,0
2023-06-10 10:09:00,Blue Sky Marketing,Office Supplies,1184.02,IT Budget,1
2023-02-23 13:38:00,Delta Insurance,Marketing,3941.26,Capital Projects,0
2023-02-05 14:58:00,Summit Law Offices,Office Supplies,1157.26,Capital Projects,0
2023-05-13 12:23:00,Premier Janitorial Services,Facilities,549.44,General Fund,0
2023-12-29 13:53:00,Regional Gas & Fuel,Maintenance,2010.26,IT Budget,0
2023-06-07 17:03:00,Metro Electric Co.,Professional Services,12524.53,IT Budget,0
2023-03-27 12:19:00,City Water Authority,IT Services,4700.64,Capital Projects,0
2023-02-11 12:22:00,Allied Security Systems,Utilities,1248.83,Operations,0
2023-07-11 08:25:00,Central IT Services,Facilities,2174.73,Operations,0
2024-01-08 15:55:00,Lakefront Catering,Facilities,2250.24,Operations,0
2023-05-15 10:29:00,City Water Authority,IT Services,4956.04,General Fund,0
2023-04-05 14:06:00,Horizon Consulting Group,IT Services,4390.69,Capital Projects,0
2023-05-18 12:15:00,Valley Plumbing,Consulting,4283.31,Operations,0
2023-04-15 09:04:00,City Water Authority,IT Services,1580.55,Capital Projects,0
2023-12-15 12:12:00,Allied Security Systems,Utilities,2123.87,Capital Projects,0
2023-06-03 11:35:00,Lakefront Catering,Facilities,3538.54,Capital Projects,0
2023-05-15 16:38:00,Budget Staffing Inc.,Insurance,4169.4,IT Budget,0
2023-01-25 15:02:00,Pacific Payroll Partners,Marketing,4768.91,Operations,0
